550047744;TELLUS S2 VX 68 1*975L;1;3
550027631;SHELL GADUS S2 V220 2 AIWJ 10x0.4KG;2;3
45312905;SHELL ADVANCE 4T AX5 20W-50 SL/MA CX 12x1L;3;2
44774905;SHELL ADVANCE 4T AX7 10W-40 SM/MA2 CX 12x1L;3;3
550053587;SHELL ADVANCE 4T ULTRA 15W50 12X1;3;3
43512905;SHELL HELIX HX5 15W-40 SL 12x1L;3;1
41051905;SHELL HELIX HX8 PRO AG 0W-20 CX 12x1L;3;2
40926905;SHELL HELIX HX8 PRO AG 0W-20 EXPO 12x1L;3;2
45387905;SHELL SPIRAX S2 A 80W-90 12x1L EXPO;3;3
45372905;SHELL SPIRAX S2 A 85W-140 12x1L EXPO;3;3
550056833;SHELL SPIRAX S5 CVT X 12X1;3;3
550027680;SHELL GADUS S3 V460D 2 1X180KG;4;3
550052219;SHELL GADUS S2 OG 40 1X190KG;5;3
550050706;SHELL GADUS S2 V220AC 2 1x18KG;6;3
550050708;SHELL GADUS S2 V220AD 2 1x18KG;6;3
550052774;SHELL ALEXIA 40 1x55GAL;7;3
550052775;SHELL ALEXIA 70 1x55GAL;7;3
550054547;SHELL ARGINA S2 40 1x55GAL;7;3
550047079;SHELL ARGINA S4 40 1x55GAL;7;3
550047075;SHELL GADINIA S3 40 1x55GAL;7;3
550026710;SHELL HYDRAULIC S1 M 46 1x55GAL;7;3
550026699;SHELL HYDRAULIC S1 M 68 1x55GAL;7;2
550022488;SHELL MELINA S 30 1x55GAL;7;3
550036571;SHELL MYSELLA S2 Z 40 1x55GAL;7;3
550036183;SHELL MYSELLA S3 N 40 1x55GAL;7;3
550026834;SHELL REFRIGERATION OIL S2 FR-A 68 1x55GAL;7;3
550032121;SHELL RISELLA X 415 1x209L;7;3
550029925;SHELL SPIRAX S2 A 80W-90 1x55GAL;7;3
550026919;SHELL SPIRAX S3 ATF MD3 1X55GAL;7;3
550026900;SHELL SPIRAX S4 CX 30 1x55GAL;7;3
550026907;SHELL SPIRAX S4 CX 50 1x55GAL;7;3
550026902;SHELL SPIRAX S4 TXM 1X55GAL;7;3
6560200055;SHELL TURBO OIL T 32 1x55GAL;7;1
6560300055;SHELL TURBO OIL T 46 1X55GAL;7;3
550043380;SHELL TURBO S4 GX 32 1x55GAL;7;2
6560500055;SHELL TURBO T OIL 68 1x55GAL;7;3
550057747;SHELL HELIX HX7 SP 10W30 1X209L;8;3
550022409;SHELL CAPRINUS XR 40 1X209L;8;3
550014136;SHELL CATENEX T 121 1x209L;8;3
550025731;SHELL HEAT TRANSFER S2  1x209L;8;3
43509809;SHELL HELIX HX5 15W-40 SL TB 209L;8;3
550053426;SHELL HELIX HX5 20W-50 SN 1x209L;8;3
550047182;SHELL OMALA S2 G 150 1X209L;8;0
45683809;SHELL OMALA S2 G 220 EXPO TB 209L;8;3
45684809;SHELL OMALA S2 G 320 EXPO TB 209L;8;3
550047184;SHELL OMALA S2 G 460 1x209L;8;0
44245809;SHELL RIMULA R2 50 TB 209L EXPO;8;1
44243809;SHELL RIMULA R4X 15W-40 TB 209L EXPO;8;1
45372809;SHELL SPIRAX S2 A 85W-140 TB 209L EXPO;8;2
550027265;SHELL CORENA S4 P 100 1x20L;9;3
45657855;SHELL OMALA S2 G 100 1x20L;9;3
45659855;SHELL OMALA S2 G 220 1x20L;9;3
45660855;SHELL OMALA S2 G 320 1x20L;9;3
45685855;SHELL OMALA S2 G 460 1x20L;9;3
550025692;SHELL REFRIGERATION OIL S2 FR-A 68 1x20L;9;3
550025702;SHELL REFRIGERATION OIL S4 FR-V 68 1x20L;9;3
44245855;SHELL RIMULA R2 50 FR 1x20L EXPO;9;1
44243855;SHELL RIMULA R4 X 15W-40 CI-4 1x20L;9;1
44414855;SHELL RIMULA RT4 X 15W-40 CI-4 1x20L;9;3
45372855;SHELL SPIRAX S2 A 85W-140 1x20L;9;3
43592855;SHELL SPIRAX S2 A 90 1x20L;9;3
550045838;SHELL HELIX HX5 15W40 3X4L;10;3
550045853;SHELL HELIX HX5 20W-50 SN 3x4L;10;1
550049041;SHELL HELIX HX8 PRO AG 0W-20 LATA 3x4L;10;2
550045436;SHELL RIMULA R4 X 15W-40 3x4L;10;2
550045438;SHELL RIMULA R5 E 10W-40 3x4L;10;2
550026301;SHELL CORENA S2 P 100 1x5GAL;11;3
550026300;SHELL CORENA S4 R 68 1x5GAL;12;2
550026700;SHELL HYDRAULIC S1 M 46 1x5GAL;12;3
550026697;SHELL HYDRAULIC S1 M 68 1x5GAL;12;2
550054282;Shell Rimula R4 X 15w40 1x5g;12;3
550026891;SHELL SPIRAX S4 TXM 1x5GAL;12;3
550045415;SHELL TELLUS S2 MX 68 1x5GAL;12;3
550059865;SHELL ADVANCE 4T AX7 10W-40 SN/MA2 6X1;13;3
550059866;SHELL ADVANCE AX7 15W50 SN/MA2 6X1;13;3
550045901;SHELL HELIX HX5 15W-40 SL 6x1L;13;3
550045885;SHELL HELIX HX5 20W-50 SN 6x1L;13;1
550052038;SHELL HELIX HX7 10W-30 SN PLUS 6x1L;13;1
550045905;SHELL HELIX HX7 10W-40 A1W9 6x1L;13;2
550057749;SHELL HELIX HX7 SP 10W-30 6x1L;13;2
550057767;SHELL HELIX HX7 SP 10W-40 6x1L;13;2
550050102;SHELL HELIX HX8 PROFESSIONAL AG 5W-30 6x1L;13;2
550057742;SHELL HELIX ULTRA 5W-40 6x1L;13;2
550049771;SHELL NAUTILUS PREMIUM OUTB 2T 6x1L;13;2
550049811;SHELL SPIRAX S2 A 80W-90 6x1L;13;3
550049812;SHELL SPIRAX S2 A 85W-140 6x1L;13;3
550049814;SHELL SPIRAX S3 ATF MD3 6x1L;13;3
550050052;SHELL SPIRAX S6 ATF X 6x1L;13;3
